collections,site_id,site_name,placekey,places
Mollusc,HBH 1963-09-05 35,HBH 1963-09-05 35,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:6) | North America: Canada, Ontario, Hastings Co. (ON) [placekey:558] (total:1) | North America: Canada, Ontario, Hastings Co. (ON), Belleville [placekey:13702] (total:1)"
Crustacea,Ottawa aquatic general,Ottawa aquatic general,,"North America: Canada, Ontario, Ottawa (metro), Ottawa [placekey:225] (total:6) | North America: Canada, Ontario, Rideau Riv. [placekey:15619] (total:2)"
Mollusc,AHC 1962-07-29 C387,AHC 1962-07-29 C387,,"North America: Canada, Saskatchewan [placekey:5] (total:5) | North America: Canada, Saskatchewan, Churchill Riv. (SK) [placekey:29051] (total:1) | North America: Canada, Saskatchewan, Lac la Ronge [placekey:27607] (total:1) | North America: Canada, Saskatchewan, La Ronge [placekey:22090] (total:1)"
Mollusc,CMNML 031733,Clarke-1961-07-18 C222,,"North America: Canada, Ontario, Thunder Bay Distr. (ON), Longlac [placekey:24626] (total:5) | North America: Canada, Ontario, Thunder Bay Distr. (ON) [placekey:457] (total:1) | North America: Canada, Ontario [placekey:7] (total:3)"
"Crustacea, Mollusc",ELB 1980 S14L01,ELB 1980 S14L01,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:2) | North America: United States, Alaska, Sitka Borough, Chichagof I. [placekey:9925] (total:6)"
"Crustacea, General Invertebrate",CMNI 1985-0251,Calanus 1962 62-2014 B-30,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:7)"
"Crustacea, General Invertebrate, Mollusc",ELB 1953 G61,ELB 1953 G61,,"North America: Canada, Québec, Mun. Rég. de Cté du Rocher-Percé, Pointe Saint-Pierre [placekey:9215] (total:4) | North America: Canada, Québec, Mun. Rég. de Cté du Rocher-Percé, Pointe-Saint-Pierre [placekey:28333] (total:4)"
"Crustacea, General Invertebrate",CMNI 1986-0614,Calanus 1959 59-4 B4 P15,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, James Bay (NU) [placekey:26232] (total:7)"
Crustacea,CMNC 1993-0223,Gorham 1963 520,,"Atlantic Ocean: Labrador Sea [placekey:17649] (total:7) | North America: Canada, Newfoundland and Labrador, South Labrador [placekey:9272] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-3013,Calanus 1949 103,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:7)"
"Crustacea, General Invertebrate",CMNC 2004-3351,Stewart 1980 108,,"North America: Canada, Newfoundland and Labrador [placekey:12] (total:2) | North America: Canada, Newfoundland and Labrador, Grand Bank Distr., Grand Bank [placekey:9428] (total:6)"
Vascular Plant,NH 2007 Aug 14-1,NH 2007 Aug 14-1,,"North America: United States, Massachusetts, Worcester Co. (MA) [placekey:2236] (total:7) | North America: United States, New Hampshire, Worcester Co. (NH) [placekey:37613] (total:1)"
Mollusc,JPEM&WB&FWG 1959-08-22 G2,JPEM&WB&FWG 1959-08-22 G2,,"North America: United States, Maryland, Montgomery Co. (MD) [placekey:2214] (total:6) | North America: United States, Virginia, Fairfax, City of [placekey:3860] (total:2)"
"Crustacea, General Invertebrate",CMNI 1986-0590,DFO (ABS) 1955 720 P-72/B-21,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:7)"
Crustacea,ELB 1975 P05b,ELB 1975 P05b,,"North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:4) | North America: Canada, British Columbia, Barclay Land Distr., Taylor Islet [placekey:28955] (total:4)"
Crustacea,ELB 1966 W04,ELB 1966 W04,,"North America: United States, Washington, Island Co., Whidbey I. [placekey:27102] (total:6) | North America: United States, Washington [placekey:63] (total:2)"
Mollusc,HBH 1959-09-04 Westbrook,HBH 1959-09-04 Westbrook,,"North America: Canada, Ontario, Frontenac Co. (ON), Kingston Mills [placekey:33388] (total:1) | North America: Canada, Ontario, Frontenac Co. (ON), Kingston [placekey:24528] (total:5) | North America: Canada, Ontario, Frontenac Co. (ON), Westbrook [placekey:13926] (total:2)"
"Crustacea, General Invertebrate",CMNI 1989-0381,Le Brasseur-19560000 19590000,,"North America: Canada, British Columbia [placekey:3] (total:1) | Pacific Ocean: Northeast Pacific Ocean [placekey:25147] (total:7)"
Mollusc,CMNML 040478,AHC 1965-07-22 C804,,"North America: Canada, Ontario, Kenora Distr. (ON) [placekey:451] (total:2) | North America: Canada, Ontario [placekey:7] (total:6)"
Mollusc,CMNML 031684,Clarke-1961-08-12 C277,,"North America: Canada, Manitoba, St. Jean Baptiste [placekey:25949] (total:2) | North America: Canada, Manitoba, Red Riv. [placekey:36565] (total:6)"
"Crustacea, General Invertebrate",CMNI 1986-0228,Calanus 1957 901 B-41,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:7)"
Crustacea,Judd 1965 J2-01,Judd 1965 J2,,"North America: Canada, Ontario, Middlesex Co. (ON), Delaware (ON) [placekey:15258] (total:7) | North America: Canada, Ontario, Middlesex Co. (ON), Thames Centre [placekey:25975] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0379,Calanus 1962 62-3001 B-29,,"North America: Canada, Nunavut, Ellesmere I. [placekey:110] (total:1) | North America: Canada, Nunavut, Ellesmere I., Slidre Fiord [placekey:10500] (total:7)"
Crustacea,ELB 1980 S11B03,ELB 1980 S11B03,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Sitka Borough, Chichagof I. [placekey:9925] (total:6) | North America: United States, Alaska, Skagway-Hoonah-Angoon Census Area, Lisianski Inlet [placekey:27832] (total:1)"
Mollusc,CMNML 031754,Clarke-1962-08-01 C398,,"North America: Canada, Saskatchewan [placekey:5] (total:4) | North America: Canada, Saskatchewan, Shell Brook (Riv.) [placekey:26732] (total:3) | North America: Canada, Saskatchewan, Prince Albert [placekey:10140] (total:1)"
Crustacea,ELB 1983 Brown I.,ELB 1983 Brown I.,,"North America: United States, Washington, San Juan Co. (WA) [placekey:3959] (total:2) | North America: United States, Washington, San Juan Co. (WA), Friday Harbor [placekey:8823] (total:6)"
"Crustacea, Mollusc",CMNML 062207,AHC&LM 1965-06-06 C680,,"North America: Canada, Manitoba, Assiniboine Riv. (MB) [placekey:19440] (total:7) | North America: Canada, Manitoba, Winnipeg [placekey:9663] (total:1)"
Parasite,CMNPA 1986-0913,Dechtiar Lake Opeongo,,"North America: Canada, Ontario, Opeongo Lake [placekey:11448] (total:2) | North America: Canada, Ontario, Algonquin Prov. Park [placekey:494] (total:6)"
Crustacea,ORourke 1977 P03,ORourke 1977 P03,,"North America: Canada, British Columbia, New Westminster Land Distr. [placekey:279] (total:1) | North America: Canada, British Columbia, New Westminster Land Distr., Burrard Inlet [placekey:13734] (total:7)"
Mollusc,AHC&MKJ 1966-07-22 Sta. 866,AHC&MKJ 1966-07-22 Sta. 866,,"North America: Canada, Manitoba, Reindeer Lake (MB) [placekey:27501] (total:7) | North America: Canada, Manitoba, Brochet [placekey:23131] (total:1)"
Mollusc,HBH 1963-08-10 31,HBH 1963-08-10 31,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Newburgh (ON) [placekey:36608] (total:7) | North America: Canada, Ontario, Chatham-Kent, Camden [placekey:17265] (total:1)"
Crustacea,CMNC 2010-0620,LDD 620,,"North America: Canada, Alberta, Lacombe [placekey:31114] (total:6) | North America: Canada, Alberta, Aspen Beach [placekey:30422] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0224,Calanus 1962 62-2012 B-27,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:7)"
Mollusc,CMNML 037911,AHC 1965-07-15 C790,,"North America: Canada, Ontario [placekey:7] (total:6) | North America: Canada, Ontario, Kenora Distr. (ON) [placekey:451] (total:2)"
Mollusc,AHC 1960-08-14 C151,AHC 1960-08-14 C151,,"North America: Canada, Québec, Mun. Rég. de Cté de Roussillon, Riv. Châteauguay [placekey:26705] (total:6) | North America: Canada, Québec, Mun. Rég. de Cté de Roussillon, Châteauguay [placekey:13602] (total:1)"
"Crustacea, Mollusc",CMNML 066192,BTK&FWG 1970-70-22,,"North America: Canada, Ontario, Waterloo Reg. Mun., Conestogo Riv. [placekey:26237] (total:6) | North America: Canada, Ontario, Wellington Co. (ON), Drayton [placekey:23101] (total:1)"
Crustacea,CMNC 1989-0724,Conlan 1989 89-2-21,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Skagway-Hoonah-Angoon Census Area [placekey:757] (total:6)"
"Crustacea, General Invertebrate",RBCM/CMN Deepwater II 1991-1-06,RBCM/CMN Deepwater II 1991-1-06,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24243] (total:1) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Moresby I. [placekey:365] (total:6)"
Mollusc,AHC 1962-07-15 C347,AHC 1962-07-15 C347,,"North America: Canada, Manitoba, Woody River [placekey:25959] (total:5) | North America: Canada, Manitoba [placekey:6] (total:1) | North America: Canada, Manitoba, Swan River [placekey:14442] (total:1)"
Crustacea,CMNC 2010-2512,LDD 2512,,"North America: Canada, Saskatchewan, Glenellen [placekey:35020] (total:2) | North America: Canada, Saskatchewan, Springwater [placekey:35950] (total:5)"
Mollusc,HBH&WHH 1960-06-09 P-1864,HBH&WHH 1960-06-09 P-1864,,"North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:2) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Greater Napanee [placekey:12190] (total:5)"
Mollusc,HBH 1961-08-16_P-1914,HBH 1961-08-16_P-1914,,"North America: Lake Erie [placekey:25790] (total:6) | North America: Canada, Ontario, Chatham-Kent, Rondeau [placekey:14215] (total:1)"
Crustacea,CMNC 1989-0740,Conlan 1989 89-2-47,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Prince of Wales-Outer Ketchikan Census Area [placekey:765] (total:6)"
Mollusc,AHC 1961-07-20 C224,AHC 1961-07-20 C224,,"North America: Canada, Ontario [placekey:7] (total:4) | North America: Canada, Ontario, Thunder Bay Distr. (ON), Geraldton [placekey:23434] (total:3)"
"Crustacea, General Invertebrate",Calanus 1962 62-2011 B-24,Calanus 1962 62-2011 B-24,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:6)"
Mollusc,WJW Burgess Lake,WJW Burgess Lake,,"North America: Canada, Ontario, Oxford Co. (ON), Blandford-Blenheim Twp. [placekey:18230] (total:6) | North America: Canada, Ontario, Oxford Co. (ON) [placekey:8041] (total:1)"
Mollusc,HBH 1959-07-10 Bay of Quinte,HBH 1959-07-10 Bay of Quinte,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Greater Napanee [placekey:12190] (total:5) | North America: Canada, Ontario, Bay of Quinte [placekey:10332] (total:2)"
Mollusc,Macoun 1894 Cypress Hills,Macoun 1894 Cypress Hills,,"North America: Canada, Alberta, Cypress Hills [placekey:9945] (total:6) | North America: Canada, Saskatchewan, Cypress Hills (SK) [placekey:11208] (total:1)"
Crustacea,CMNC 2010-2298,LDD 2298,,"North America: Canada, Saskatchewan, Kenosee Park [placekey:35240] (total:1) | North America: Canada, Saskatchewan, Carlyle Lake Resort [placekey:34620] (total:6)"
Mollusc,HBH 1962-07-12 HBH 3,HBH 1962-07-12 HBH 3,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Adolphustown [placekey:24561] (total:6) | North America: Canada, Ontario, Prince Edward Co. (ON), Hillier [placekey:12273] (total:1)"
Mollusc,EM 1961-07-04 Aberdeen Lake,EM 1961-07-04 Aberdeen Lake,,"North America: Canada, Nunavut, Aberdeen Lake [placekey:10395] (total:6) | North America: Canada, Northwest Territories [placekey:14] (total:1)"
Crustacea,CMNC 2010-5036,LDD 5036,,"North America: Canada, Ontario, Prince Edward Co. (ON), Bloomfield [placekey:17039] (total:6) | North America: Canada, Ontario, Prince Edward Co. (ON), Wellington (4357N 7721W) [placekey:28283] (total:1)"
"Crustacea, Mollusc",CMNML 035723,HANNAM-1952 416,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Baffin I., Cumberland Sound [placekey:14303] (total:6)"
"Crustacea, General Invertebrate",CMNI 1986-0846,19700807,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Frobisher Bay [placekey:192] (total:6)"
"Crustacea, General Invertebrate, Mollusc",CMNC 1989-0272,Johansen 1913 22,,"North America: United States, Alaska, North Slope Borough [placekey:24993] (total:6) | Arctic Ocean: Chukchi Sea [placekey:726] (total:1)"
"Crustacea, Mollusc",CMNML 038388,AHC 1963-07-12 C472,,"North America: Canada, Québec [placekey:8] (total:6) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
"Crustacea, General Invertebrate",CMNI 1989-0257,Gorham-19601006,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Gulf of St. Lawrence [placekey:16749] (total:6)"
Mollusc,HBH 1963-07-29 Rice Lake,HBH 1963-07-29 Rice Lake,,"North America: Canada, Ontario, Peterborough Co. (ON), Hiawatha [placekey:25284] (total:5) | North America: Canada, Ontario, Rice Lake [placekey:26395] (total:1) | North America: Canada, Ontario, Sudbury Distr. (ON), Rice Lake [placekey:11887] (total:1)"
Mollusc,AHC 1962-07-08 C324,AHC 1962-07-08 C324,,"North America: Canada, Ontario [placekey:7] (total:1) | North America: Canada, Ontario, Rainy River Distr. (ON), Finland (ON) [placekey:29002] (total:5) | North America: Canada, Ontario, Leeds and Grenville United Co., Portland [placekey:12197] (total:1)"
"Crustacea, Mollusc",CMNML 020681,MacDonald 1954 19,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Ellef Ringnes I., Isachsen [placekey:10854] (total:6)"
"Crustacea, General Invertebrate",CMNI 1986-0361,DFO(ABS) 1956 811 B-28,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:6)"
Mollusc,LRC 1962-07-17 C351,LRC 1962-07-17 C351,,"North America: Canada, Manitoba, Wanless [placekey:28729] (total:4) | North America: Canada, Manitoba, Rocky Lake (5409N, 10130W) [placekey:14446] (total:2) | North America: Canada, Manitoba [placekey:6] (total:1)"
Mollusc,HBH 1962-08-17 18,HBH 1962-08-17 18,,"North America: Canada, Ontario, Hastings Co. (ON), Moira Riv. [placekey:23623] (total:5) | North America: Canada, Ontario, Hastings Co. (ON), Tweed Twp. [placekey:11921] (total:2)"
Mollusc,AL 1934-10-24 Kettle Island,AL 1934-10-24 Kettle Island,,"North America: Canada, Ontario [placekey:7] (total:3) | North America: Canada, Québec, Gatineau Métropolitain, Île Kettle [placekey:24765] (total:4)"
"Crustacea, General Invertebrate",CMNI 1900-2690,Powell-19670720,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24155] (total:2) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Maude I. [placekey:26591] (total:4)"
"Crustacea, General Invertebrate",CMNC 2003-1318,Johansen 1917 Prince 54,,"North America: Canada, Québec [placekey:8] (total:1) | North America: Canada, Nova Scotia, Inverness Co. (NS), Cheticamp [placekey:8958] (total:5)"
Mollusc,CMNML 023727,Clarke-1961-06-04 C 204,,"North America: Canada, Ontario, Lanark Co. (ON) [placekey:864] (total:1) | North America: Canada, Ontario, Renfrew Co. (ON), White Lake (ON) [placekey:12955] (total:1) | North America: Canada, Ontario [placekey:7] (total:4)"
Mollusc,HBH&LEW&MCW 1963-06-27 24,HBH&LEW&MCW 1963-06-27 24,,"North America: Canada, Ontario, Frontenac Co. (ON), Napanee Lake [placekey:36581] (total:5) | North America: Canada, Ontario, Peterborough Co. (ON), Asphodel-Norwood Twp. [placekey:26074] (total:1)"
Parasite,CMNPA 1991-0020,Byrne-1986,,"North America: Canada, Ontario, Wellington Co. (ON), Guelph [placekey:14040] (total:6) | North America: Canada, Ontario, Wellington Co. (ON), Eramosa Riv. [placekey:26187] (total:6)"
Crustacea,Daniels-19750808,Daniels-19750808,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Trevor Ch. [placekey:9365] (total:2) | North America: Canada, British Columbia, Barclay Land Distr., Haines I. [placekey:26830] (total:3)"
Mollusc,FRB 1959 Beaver Lake Gill Net,FRB 1959 Beaver Lake Gill Net,,"North America: Canada, Northwest Territories [placekey:14] (total:2) | North America: Canada, Nunavut, Kitikmeot Region [placekey:25219] (total:4)"
Mollusc,FWG 1970-05-28 Pakenham,FWG 1970-05-28 Pakenham,,"North America: Canada, Ontario, Lanark Co. (ON), Lanark [placekey:10801] (total:1) | North America: Canada, Ontario, Lanark Co. (ON), Pakenham [placekey:10882] (total:5)"
Mollusc,1945-06-06 Athabasca Lake,1945-06-06 Athabasca Lake,,"North America: Canada, Lake Athabaska [placekey:17551] (total:1) | North America: Canada, Alberta, Athabasca Lake (AB) [placekey:36600] (total:5)"
Mollusc,HBH&RMW 1961-09-20 P-1926,HBH&RMW 1961-09-20 P-1926,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Millhaven [placekey:25251] (total:2) | North America: Canada, Ontario, Lennox and Addington Co. (ON), Odessa [placekey:24847] (total:4)"
"Crustacea, General Invertebrate",CMNI 1985-0371,Calanus 1962 62-2032 B-46,,"North America: Canada, Northwest Territories [placekey:14] (total:2) | North America: Canada, Nunavut, Somerset I., Creswell Bay [placekey:19529] (total:4)"
Mollusc,HBH 1960-07-12 P-1860,HBH 1960-07-12 P-1860,,"North America: Canada, Ontario, Lennox and Addington Co. (ON), Adolphustown [placekey:24561] (total:1) | North America: Canada, Ontario, Frontenac Co. (ON), Sydenham Lake [placekey:27491] (total:3) | North America: Canada, Ontario, Frontenac Co. (ON), South Frontenac Twp. [placekey:17776] (total:1) | North America: Canada, Ontario, Frontenac Co. (ON), Sydenham [placekey:12290] (total:1)"
Mollusc,HBH 1962-07-30 8,HBH 1962-07-30 8,,"North America: Canada, Ontario, Prince Edward Co. (ON), Wellington (4357N 7721W) [placekey:28283] (total:5) | North America: Canada, Ontario, Prince Edward Co. (ON), Hallowell [placekey:11919] (total:1)"
Crustacea,ELB 1966 W10,ELB 1966 W10,,"North America: United States, Washington, Mason Co. (WA) [placekey:3954] (total:2) | North America: United States, Washington, Thurston Co. (WA) [placekey:3965] (total:4)"
Crustacea,Kittle 1972 Gulf Is.,Kittle 1972 Gulf Is.,,"North America: Canada, British Columbia, Vancouver I. [placekey:171] (total:1) | North America: Canada, British Columbia, New Westminster Land Distr., Vancouver [placekey:851] (total:1) | Pacific Ocean: Gulf Is. [placekey:381] (total:4)"
"Crustacea, Fish",CMNFI 1962-0265,Fish. Res. Bd. Canada-24 AUG 1956-CMNFI 62-0265.1,,"North America: Canada, Nunavut, Jens Munk I. [placekey:14609] (total:5) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:1)"
Mollusc,AHC 1962-05-28 Fitzroy Harbour,AHC 1962-05-28 Fitzroy Harbour,,"North America: Canada, Ontario, Ottawa (metro), Fitzroy Prov. Park [placekey:27784] (total:5) | North America: Canada, Ontario, Ottawa (metro), Fitzroy Harbour [placekey:12984] (total:1)"
Parasite,CMNPA 1984-7846,Arai 1965 HPA-134 Fougner,,"North America: Canada, British Columbia, Range 2 Coast Land Distr., Burke Ch. [placekey:10233] (total:1) | North America: Canada, British Columbia, Range 2 Coast Land Distr., Fougner Bay [placekey:10240] (total:6)"
"Crustacea, General Invertebrate",CMNI 1986-0224,Calanus 1957 901 B-31,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:5)"
"Crustacea, General Invertebrate",CMNI 1986-0274,DFO (ABS) 1961 61-10,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Chesterfield Inlet (NU) [placekey:12661] (total:5)"
"Crustacea, Mollusc",CMNML 038464,DFO 1965 65-1020,,"North America: Canada, Northwest Territories [placekey:14] (total:3) | North America: Canada, Nunavut, Bathurst Inlet [placekey:83] (total:3)"
"Crustacea, General Invertebrate",CMNI 1986-0381,Calanus 1957 901 B-50,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Foxe Basin [placekey:15293] (total:5)"
Mollusc,HBH 1961-08-18 Catfish Creek,HBH 1961-08-18 Catfish Creek,,"North America: Canada, Ontario, Elgin Co. (ON), Port Bruce [placekey:15262] (total:5) | North America: Lake Erie [placekey:25790] (total:1)"
"Crustacea, Mollusc",CMNML 044801,Gorham 1963 530,,"North America: Canada, Newfoundland and Labrador, Newfoundland [placekey:26677] (total:2) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:4)"
"Crustacea, General Invertebrate",CMNI 1986-0715,Calanus 1949 102 B-2,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Forbes Sound [placekey:23166] (total:5)"
"Crustacea, General Invertebrate",CMNI 1982-1492,OClair 1969 69RD3,,"North America: United States, Alaska, Aleutian Is. [placekey:768] (total:2) | North America: United States, Alaska, Bering Sea [placekey:779] (total:4)"
"Crustacea, General Invertebrate, Mollusc",CMNI 1986-0847,ABS-DFO 19700810 5,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Qikiqtaaluk Region, Baffin I., Frobisher Bay [placekey:192] (total:5)"
Mollusc,CMNML 045901,KK 1967-08-04 AMU Trip,,"North America: Canada, Ontario, Ottawa (metro), Fitzroy Prov. Park [placekey:27784] (total:2) | North America: Canada, Ontario, Ottawa (metro), Fitzroy Harbour [placekey:12984] (total:2) | North America: Canada, Ontario [placekey:7] (total:2)"
Mollusc,CMNML 018794,Herrington-1963-08-16 HBH 33,,"North America: Canada, Ontario, Prince Edward Co. (ON), Consecon Lake [placekey:18775] (total:5) | North America: Canada, Ontario, Prince Edward Co. (ON), Hillier [placekey:12273] (total:1)"
Parasite,CMNPA 1979-1398,Arthur 1977 NortonSound,,"North America: United States, Alaska [placekey:17] (total:6) | Pacific Ocean: Norton Sound [placekey:784] (total:6)"
Mollusc,CMNML 066009,BTK 1971-08-01 K71-70,,"North America: Canada, Ontario, Brant [placekey:853] (total:5) | North America: Canada, Ontario, Grand Riv. [placekey:26236] (total:1)"
Crustacea,CMNC 1991-0039,Conlan 1989 89-2-29,,"North America: United States, Alaska, Sitka Borough, Chichagof I. [placekey:9925] (total:5) | North America: United States, Alaska, Sitka Borough, Hogan I. [placekey:9330] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0299,DFO(ABS) 1961 61-39 B-27,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Frozen Strait [placekey:14892] (total:5)"
"Crustacea, General Invertebrate",CMNI 1989-1168,Spreadborough-191007,,"North America: Canada, British Columbia, Queen Charlotte Islands Land Distr. [placekey:24243] (total:1) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Skidegate Inlet [placekey:19905] (total:4) | North America: Canada, British Columbia, Queen Charlotte Islands Land Distr., Skidegate [placekey:8899] (total:1)"
"Crustacea, General Invertebrate",CMNI 1985-0430,DFO(ABS) 1961 61-12 B-11,,"North America: Canada, Northwest Territories [placekey:14] (total:1) | North America: Canada, Nunavut, Chesterfield Inlet (Bay) [placekey:28950] (total:5)"
Mollusc,Wightman 1963-06-02 Sand Lake,Wightman 1963-06-02 Sand Lake,,"North America: Canada, Ontario, Leeds and Grenville United Co., Crosby [placekey:12361] (total:5) | North America: Canada, Ontario, Parry Sound Distr. (ON), Sand Lake [placekey:14179] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-0725,Gorham 1963 529,,"North America: Canada, Newfoundland and Labrador, Labrador West Distr., Labrador City [placekey:8669] (total:1) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:5)"
"Crustacea, General Invertebrate",ELB 1980 S05B02,ELB 1980 S05B02,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Sitka Borough, Hogan I. [placekey:9330] (total:5)"
"Crustacea, General Invertebrate",CMNI 1900-2038,Calanus 1947 11,,"North America: Canada, Northwest Territories [placekey:14] (total:4) | North America: Canada, Nunavut, Ungava Bay [placekey:9074] (total:2)"
Mollusc,WLD 1962-07-14 Baker Lake,WLD 1962-07-14 Baker Lake,,"North America: Canada, Nunavut, Baker Lake [placekey:12350] (total:5) | North America: Canada, Northwest Territories [placekey:14] (total:1)"
Mollusc,CMNML 039795,AHC 1962-07-28 C377,,"North America: Canada, Saskatchewan, La Ronge [placekey:22090] (total:1) | North America: Canada, Saskatchewan [placekey:5] (total:5)"
"Crustacea, Mollusc",CMNML 041273,AHC 1963-07-17 C487,,"North America: Canada, Québec [placekey:8] (total:5) | North America: Canada, Nunavut, Hudson Bay (NU) [placekey:14002] (total:1)"
Mollusc,Zwickel 1979-08-06 George Creek,Zwickel 1979-08-06 George Creek,,"North America: Canada, Alberta, Turner Valley [placekey:31692] (total:5) | North America: Canada, Alberta, Turner Valley [placekey:10988] (total:1)"
Crustacea,CMNC 1989-0739,Conlan 1989 89-2-44,,"North America: United States, Alaska, Gulf of Alaska [placekey:767] (total:1) | North America: United States, Alaska, Prince of Wales-Outer Ketchikan Census Area [placekey:765] (total:5)"
"Crustacea, General Invertebrate",CMNI 1900-2886,Dawson 1885 Pulteney,,"Pacific Ocean: Queen Charlotte Sound [placekey:24300] (total:1) | North America: Canada, British Columbia, Rupert Land Distr., Pulteney Pt. [placekey:24645] (total:5)"
Mollusc,CMNML 045123,AHC 1962-08-06 C409,,"North America: Canada, Manitoba [placekey:6] (total:1) | North America: Canada, Manitoba, Plum Creek (4936N, 10015W) [placekey:11607] (total:5)"
"Crustacea, General Invertebrate",CMNI 1900-1385,Young-19100627,,"North America: Canada, Nova Scotia [placekey:10] (total:1) | North America: Canada, Nova Scotia, Shelburne Co. (NS), Barrington Passage [placekey:13997] (total:5)"
"Crustacea, Mollusc",CMNML 070958,Oughton 1968 G-133,,"North America: Canada, Ontario, Wellington Co. (ON) [placekey:9710] (total:4) | North America: Canada, Ontario, Wellington Co. (ON), Guelph/Eramosa Twp. [placekey:12284] (total:2)"
Crustacea,CMNC 1991-0025,RBCM-CMN-ROM Deepwater I 90-02-13-01,,"North America: Canada, British Columbia, Nootka Land Distr. [placekey:284] (total:5) | North America: Canada, British Columbia, Nootka Land Distr., Nootka I. [placekey:8975] (total:1)"
"Crustacea, General Invertebrate",CMNI 1900-2744,Gorham 1963 523,,North America: Canada [placekey:2] (total:1) | Atlantic Ocean: Labrador Sea [placekey:17649] (total:5)
Crustacea,ELB 1976 B11a,ELB 1976 B11a,,"North America: Canada, British Columbia, Barclay Land Distr. [placekey:287] (total:1) | North America: Canada, British Columbia, Barclay Land Distr., Cape Beale [placekey:26823] (total:5)"
Mollusc,AHC&MKJ 1966-07-21 865,AHC&MKJ 1966-07-21 865,,"North America: Canada, Manitoba, Brochet [placekey:23131] (total:1) | North America: Canada, Manitoba, Lac Brochet [placekey:27500] (total:5)"
"Crustacea, General Invertebrate",CMNI 1900-2587,Johansen-19200823 3 miles off,,"North America: Canada, Hudson Bay [placekey:13168] (total:1) | North America: Canada, Québec, Territoire de Kativik, Lac Guillaume-Delisle [placekey:26847] (total:4)"
