mkey,date_collected
578763,1981?
578764,1981?
578769,1973?
578770,1973?
578771,1973?
578772,1973?
578773,1973?
578774,1973?
578775,1973?
578776,1973?
578777,1973?
578778,1973?
578779,1973?
578780,1973?
578781,1973?
578782,1973?
578783,1973?
578784,1973?
578785,1973?
578786,1973?
578787,1973?
578788,1973?
578789,1973?
578790,1973?
578791,1973?
578792,1973?
578793,1973?
578794,1970
578795,date unknown
578832,1979-01
579127,2007
579136,1971-07
579144,2007
579192,2007
579193,2007
579194,2007
579195,2007
579196,2007
579197,2007
579198,2007
579199,2007
579200,2007
579201,2007
579202,2007
579203,2007
579204,2007
579205,2007
579206,2007
579207,2007
579208,2007
579209,2007
579210,2007
579211,2007
579212,2007
579213,2007
579214,2007
579215,2007
579216,2007
579217,2007
579218,2007
579219,2007
579220,2007
579221,2007
579222,2007
579223,2007
579224,2007
579225,2007
579226,2007
579227,2007
579228,2007
579229,2007
579230,2007
579231,2007
579232,2007
579233,2007
579234,2007
579235,2007
579236,2007
579237,2007
579238,2007
579239,2007
579240,2007
579241,2007
579242,2007
579243,2007
579244,2007
579245,2007
579246,2007
579247,2007
579248,2007
579249,2007
579250,2007
579251,2007
579252,2007
579253,2007
579254,2007
579255,2007
579256,2007
579257,2007
579258,2007
579259,2007
579260,2007
579261,2007
579262,2007
579263,2007
579264,2007
579265,2007
579266,2007
579267,2007
579268,2007
579269,2007
579270,2007
579271,2007
579272,2007
579273,2007
579274,2007
579275,2007
579276,2007
579277,2007
579278,2007
579279,2007
579280,2007
579281,2007
579282,2007
579283,2007
579284,2007
579285,2007
579424,1968-08
579437,1980-02
579438,1980-02
579442,1979-11
579443,1979-11
579447,1979-11
579475,1979-01
579517,1979; 1980
579538,1823-06
579539,1823-07
579540,1823-07
579541,1823-06
579542,1823-06 - 1823-07
579547,1980-01
579549,1979-11
579552,1980-01
579557,1979-112-01 - 1979-12-15
579558,1979-112-01 - 1979-12-15
579572,1979-11
579573,1979-11
579580,1979-12
579593,2007-03
579601,2001-07
579602,"2007,2008"
579603,2007
579604,2007
579605,2007
579606,2007
579607,2007
579608,2007
579609,2007
579610,2007
579611,2007
579612,2007
579613,1979-11
579614,1979-11
579615,1979-11
579616,1979-11
579617,1979-12
579618,1979-11
579619,1979-12
579623,2007
579624,2007
579626,2000
579627,2000
579628,2000
579629,2000
579630,2000
579631,2000
579632,2000
579633,2000
579634,2000
579635,2000
579636,2000
579637,2001
579638,2001
579639,2001
579640,2001
579641,2001
579642,2001
579643,2001
579644,2002
579645,2002
579646,2002
579647,2002
579648,2002
579649,2002
579650,2002
579651,2002
579652,2002
579653,2002
579654,2003
579655,2003
579656,2003
579657,2003
579658,2003
579659,2003
579660,2003
579661,2003
579662,2003
579663,2004
579664,2004
579665,2004
579666,2004
579667,2004
579668,2004
579669,2004
579670,2004
579671,2004
579672,2004
579673,2004
579674,2004
579675,2004
579676,2006
579677,2006
579678,2006
579679,2006
579680,2006
579681,2006
579682,2006
579683,2006
579687,1940-04 - 1940-05
579688,1992-11
579689,1992-11
579691,1992-12
579692,1992-12
579693,1992-01
579694,1992-01
579695,1992-12
579696,1994-05
579698,1991-11
579699,1964-02
579700,1949-01
579701,1949-01
579708,1989
579712,1929-06
579719,1989-07
579720,1989-07
579735,1986
579747,1980-01
579767,1980-01
579771,1980-03
579776,1979; 1978
579777,1979-02
579787,1978-12
579788,1979-02
579814,1967-07
579823,1967-06
579834,1967-05
579850,1979; 1980
579851,1979; 1980
579852,1979; 1980
579853,1979; 1980
579854,1979; 1980
579855,1979; 1980
579856,1979; 1980
579857,1979; 1980
579858,1979; 1980
579859,1979; 1980
579860,1979; 1980
579861,1979; 1980
579862,1979; 1980
579863,1979; 1980
579864,1979; 1980
579865,1979; 1980
579866,1979
579867,1979; 1980
579868,1979; 1980
579872,1979-12
579876,1980-01
579883,2006-06
579904,1862-05
579918,1990-12
579961,1990's
579962,1990's
579963,1990's
579964,1990's
579965,1990's
579966,1990's
579967,1990's
579972,1990's
579973,1990's
579981,1995
579985,1960's
579986,1990's
579989,1989
579991,1989-09
579992,1975
579993,1972
579994,1989-09
579995,1989-09
579996,1989-09
579997,1989-09
579998,1989-09
580000,1989-09
580002,1990-01
580003,1989-09
580005,1989-09
580029,1978-06
580030,1978-06
580031,1978-06
580032,1978-06
580033,1978-06
580035,1888-1898
580036,1976
580060,1976
580096,1969 (before)
580097,1969 (before)
580098,1969 (before)
580099,1969 (before)
580100,1969 (before)
580101,1969 (before)
580102,1969 (before)
580103,1969 (before)
580104,1969 (before)
580105,1969 (before)
580106,1969 (before)
580107,1969 (before)
580108,1969 (before)
580109,1969 (before)
580110,1969 (before)
580111,1969 (before)
580112,1969 (before)
580113,1969 (before)
580114,1969 (before)
580115,1969 (before)
580116,1969 (before)
580117,1969 (before)
580118,1969 (before)
580119,1969 (before)
580120,1969 (before)
580121,1969 (before)
580122,1969 (before)
580123,1969 (before)
580124,1969 (before)
580125,1969 (before)
580126,1969 (before)
580127,1969 (before)
580128,1978-12
580129,1978-12
580130,1978-12
580131,1978-12
580132,1978-1979
580133,1979-11
580134,1979-11
580135,1979-11
580136,1979-11
580137,1979-11
580144,1979-12
580145,1916-12
580146,1917-1925
580147,1917-1925
580148,1917-1925
580149,1917-1925
580150,1917-1925
580151,1917-1925
580152,1926
580153,1925
580154,1925
580155,1917
580156,1969 (before)
580157,1978
580158,1970
580159,1928
580160,1928
580163,1979 winter
580164,1979 winter
580165,1979 winter
580167,1979-03
580171,1979 winter
580172,1979 winter
580173,1979 winter
580174,1979 winter
580180,1979 winter
580185,1979-03 - 1979-04
580202,1987
580218,1970 - 1978
580219,1970 - 1978
580220,1970 - 1978
580222,1976 FALL
580223,1976 FALL
580227,1976 - 1977 WINTER
580231,1980-01
580232,1980-01
580248,1980-08
580268,1925 approx.
580269,1925 approx.
580270,1978
580272,1984 WINTER or 1985 WINTER
580273,1984 WINTER or 1985 WINTER
580283,1979
580284,1978
580286,1977
580318,1956
580319,1985
580322,1985
580323,1977
580324,1977
580325,1977
580326,1977
580327,1977
580328,1977
580329,1977
580351,1992-09
580357,1932-01
580358,1977
580359,1977
580367,1977
580369,1945-11
580370,1946-01
580371,1946-01
580376,1950-02
580389,1921-08 - 1921-09
580391,1983-12
580394,1978-07; 1978-08
580398,1981
580399,1981
580400,1981
580401,1981
580402,1981
580405,1980-06
580412,2004
580413,2004
580414,2004
580415,2004
580416,2004
580419,2004
580421,2004
580422,2004
580423,2004
580442,1973-11
580443,1972-12
580484,1836-08
580486,1892-09
580489,1975-03
580490,1973-04
580491,1973-04
580495,1973 summer
580500,1974-05
580508,1973-11
580536,1969-06
580545,1969-10
580587,1973-07
580595,1970-09
580623,1992-08
580651,2003
580652,2003
580653,"2003, 2004"
580654,2003
580656,2003
580657,2003
580658,2003
580659,2003
580668,2003
580669,2003
580670,2003
580671,2003
580672,2003
580673,2003
580674,2003
580676,1992-10
580678,1991 SUMMER/FALL
580682,1999
580683,2004
580684,2004
580685,2004
580686,2004
580687,2004
580688,2004
580689,2004
580690,2004
580691,2004
580692,2004
580693,2004
580694,2005
580695,2005
580696,2005
580699,1913
580705,1914-02
580707,1913-04
580741,1958-09
580743,1981-05
580755,2004
580756,2004
580757,2004
580758,2004
580759,2004
580760,2004
580761,1999
580782,1970
580787,date unknown
580788,date unknown
580822,1977
580825,1972
580836,1881
580845,1979-04
580847,1960-12
580848,1945-07
580849,1945-07
580850,1945-07
580851,1945-07
580852,1945-07
580853,1943-07
580854,1943-07
580855,1943-07
580856,1943-07
580857,1943-07
580858,1943-07
580860,1945-07
580866,1970-06; 1970-07
580867,1970-06; 1970-07
580889,1982-09 - 1983-03
580898,1984-07
580917,2004
580919,2004
580921,2004
580938,2004
580941,2004
580946,2004
580957,1884-07
580961,2004
580962,2004
580970,2004
580971,2004
580972,2004
580973,2004
580974,2004
580975,2004
580976,2004
580977,2004
580978,2004
580979,2004
580980,2004
580981,2004
580982,2004
580983,2004
580984,2004
580985,2004
580986,2004
580987,1940-12
580988,1940-12
580989,1940-12
580992,1942-12
580998,1935-10
581001,1941-01
581002,1950-10
581003,1952-11
581004,1940-10
581006,1983-12
581028,1910-11
581030,1921-01
581048,1952-01
581058,1985-08
581060,2001-11
581061,1949-10
581062,1975-12
581079,1972-08
581083,1972-08
581084,1972-08
581085,1972-08
581086,1972-08
581087,1972-08
581088,1972-08
581089,1972-08
581090,1972-08
581091,1972-08
581092,1972-08
581093,1972-08
581094,1972-08
581095,1972-08
581096,1972-08
581097,1972-08
581098,1972-08
581099,1972-08
581100,1972-08
581101,1972-08
581102,1972-08
581103,1972-08
581104,1972-08
581105,1972-08
581106,1972-08
581107,1972-08
581108,1972-08
581109,1972-08
581110,1972-08
581111,1972-08
581112,1972-08
581113,1972-08
581114,1972-08
581121,1958-11
581122,1958-11
581123,1958-11
581124,1958-12
581125,1943-10
581126,1963-09
581128,1993-06 12
581129,1937-12
581136,1977
581137,1978
581146,1885
581151,1916-06
581229,1969-07
581262,1970-08
581304,2004
581313,2004
581549,1947-10
581552,1956-11
581554,1956-11
581555,1956-11
581556,1956-11
581580,1984-08
581590,1970-07 - 1970-08
581593,1970-07 - 1970-08
581594,1977-08
581659,1951-06 - 1951-07 - 1951-08
581754,1958-07
581770,1949
581777,1874-05
581832,1991
581833,1991
581836,1991
581840,1991
581841,1991
581842,1991
581847,1975
581935,1971?
581989,1977-08
582007,1963-08
582032,1934
582033,1945-02
582035,1941-01
582061,1967-07-016
582067,1918-06
582090,1954-08
582113,1967
582115,1987-08
582123,1981-04
582165,1984
582166,1983-09
582167,1984
582309,1984
582337,1985-07
582339,1971-Summer
582340,1971-Summer
582354,1986
582358,1986
582363,1984-08
582392,1855-10
582407,1971-08
582417,1959
582440,1893-08
582490,1980-07
582555,1984-09
582556,1984
582588,1917-08
582604,1963
582606,1937-09
582607,1937-09
582614,1963
582646,1932-09-31
582664,date unknown
582681,1901-09-31
582685,date unknown
582689,1850-09
582690,1849-10
582710,2004-07
582714,2004-07
582745,date unknown
582781,1998
582783,1998
582802,1984-08
582803,1984-08
582804,1850-10
582812,1968-08
582939,1985-02
582973,1984-09
583026,2004-07
583050,2004-07
583052,2004-07
583130,1985-08
583176,2004-04
583180,2006-07
583252,1954-05; 1954-06
583253,2008-05
583254,2008-05
583285,1997-09
583299,1924
583300,1924
583301,1924
583302,1924
583303,1924
583304,1924
583305,1964-06
583306,1896
583307,1896
583308,1896
583309,1896
583310,1896
583311,1896
583319,1984-08
583352,2004
583377,2004-07
583399,1985-08
583402,2004-07
583408,1980-07
583409,1980-07
583417,2004-07
583427,2004-07
583428,2004-07
583429,2004-07
583430,2004-07
583431,2004-07
583432,2004-07
583433,2004-07
583434,2004-07
583435,2004-07
583436,2004-07
583437,2004-07
583438,2004-07
583460,1952-03
583466,1950
583468,1980-07
583473,1964-07
583491,1948-09
583492,1947
583493,1955-07
583494,1955
583511,1965-01
583514,1966-01 - 1965-06
583544,1970-07
583545,1970-07 - 1970-08
583559,1976-07
583560,1976-07
583561,1976-07
583562,1976-07
583570,1976-08
583577,1869-07
583580,1968-5
583602,1976-08
583603,1976-08
583604,1976-08
583605,1976-09
583606,1976-09
583608,1979
583609,1896
583610,1896
583611,1896
583617,1896
583618,1896
583619,1896
583620,1896
583621,1896
583622,1896
583623,1896
583624,1896
583634,1957-06
583648,1896
583649,1896
583650,1896
583651,1896
583652,1896
583653,1896
583654,1896
583655,1896
583656,1896
583657,1896
583658,1896
583659,1896
583660,1896
583661,1896
583662,1896
583663,1896
583685,1890
583686,1896
583687,1896
583688,1896
583689,1893
583690,1896
583691,1893
583692,1895-10
583694,1935-05
583707,1886
583714,1956-08
583745,1882-07027
583766,1913-1918?
583767,1918?
583797,1982-12
583806,1957
583807,1957
583808,1957
583809,1950
583810,1950
583900,1962
583901,2003 (before)
583928,1966
583944,1958-08 - 1958-09
583945,1958-08 - 1958-09
583965,1954
583983,1968-09
583984,1968-09
583985,1968-09
584002,1979-10
584018,1977-02 - 1977-03
584019,1977-02 - 1977-03
584051,1972-Summer
584052,1884-07
584065,1973-01
584106,1967
584107,1967
584108,1967
584109,1967
584110,1967
584111,1967
584128,date unknown
584375,1986-01
584563,1958
584617,1976-08
584688,1950?
584690,1950?
584700,1986-09
584717,1910-06011
584792,1979-
584797,1981-01
584805,1888
584811,1888
584857,2004
584887,1992-03
584890,1992-03
584891,1992-03
584935,1962
584936,1962
584937,1962
584938,1962
584943,2004
584944,2004
584945,2004
584946,2004
584972,1909-07
585045,1985-02
585054,1974-02
585056,1974-02
585059,1974
585061,1974
585062,1974
585063,1974
585064,1974
585065,1974
585066,1974
585093,2004
585094,2004
585095,2004
585127,2004
585130,2004
585131,2004
585132,2004
585133,2004
585135,2004
585136,2004
585137,2004
585189,1995 (before)
585196,1976-07
585210,1981-01
585252,1993-05
585255,1976-07
585262,1994-03
585264,1994-09
585282,1976-08
585284,1976-08
585285,1976-09
585290,2004
585291,2004
585355,1984-08
585401,1950-08
585408,1985-08
585415,1970-07
585466,1972 or 1974
585547,1965
585615,1994-09; 1994-10
585619,1996-11
585621,1996-11
585622,1996-11
585623,1997
585660,1910-06
585685,2007-09
585704,1959; summer
585713,1909-05
585716,1927
585720,1920
585721,1920
585722,1920
585723,1982-02
585726,1896
585727,1896
585765,1981
585788,1977-06
585802,1963-07
585807,1998
585808,1998
585809,1997-07
585869,1980-07
585883,1977-02
585889,1984-08
585894,1888-07
585895,1961-05
586009,1985-07
586071,1987-12
586083,1973
586149,1827 - 1895
586194,1976-07
586211,1971
586226,date unknown
586240,1986-09
586244,1986-09
586245,1986
586246,1985-05
586250,1975-04
586252,1985-05
586316,1970-Summer
586369,1985-04
586377,1985-05
586378,1984-05
586379,1984
586390,1956
586402,1985-04
586403,1985-04
586404,1984
586411,1985-04
586413,1985-04
586508,1827 - 1895
586511,1967-Summer
586512,1967-Summer
586515,1951
586528,1971
586538,1982-Summer
586545,1976-09
586560,1953-11
586608,1999
586667,1914-08
586672,1987-05
586677,1984-08
586687,1985-04
586693,1985-04
586694,1985-04
586710,1985-06
586712,1997-06
586713,1997-06
586714,1997-06
586715,1997-06
586716,1997-06
586717,1997-06
586718,1997-06
586725,1997-08
586726,1997-08
586727,1997-08
586780,1978
586964,1974
586967,1987-05
586975,1987-09
587007,2009-01
587008,1988-01 - 1988-02
587009,1988-01 - 1988-02
587049,1957-10
587050,1957-09
587051,1957-09
587052,1957-09
587053,1957-09
587054,1957-09
587055,1957-09
587056,1957-09
587057,1957-09
587058,1957-09
587059,1957-09
587060,1979-10
587061,1979-10
587062,1979-10
587063,1979-10
587064,1979-10
587065,1979-10
587066,1979-10
587067,1979-10
587068,1979-10
587069,1979-10
587070,1979-10
587071,1979-10
587072,1979-10
587073,1979-10
587074,1979-10
587329,1958-02
587330,1958-02
587331,1958-02
587332,1958-02
587333,1958-02
587334,1958-02
587335,1958-02
587336,1958-02
587337,1958-02
587338,1958-02
587339,1944-04
587340,1943-11
587341,1943-11
587342,1947-09
587343,1947-09
587344,1947-09
587345,1947-09
587346,1947-09
587347,1947-09
587348,1947-09
587349,1947-09
587350,1947-09
587351,1979-06
587352,1979-06
587353,1979-07
587354,1979-06
587355,1979-06
587356,1979-06
587357,1979-06
587358,1979-06
587359,1979-06
587360,1979-06
587361,1979-06
587362,1979-06
587363,1979-06
587364,1979-06
587365,1979-06
587366,1979-06
587367,1979-06
587368,1979-06
587369,1979-06
587370,1979-06
587371,1979-06
587372,1979-06
587373,1979-06
587374,1979-06
587375,1979-07
587376,1979-07
587377,1979-07
587378,1979-07
587425,1963-06
587426,1963-06
587427,1963-06
587428,1963-06
587429,1963-06
587430,1963-06
587431,1963-06
587432,1963-06
587433,1972-10
587434,1972-10
587435,1972-10
587436,1972-10
587437,1963-06
587438,1972-10
587439,1972-10
587440,1972-10
587441,1972-10
587442,1972-10
587443,1975-05
587444,1975-05
587484,1980-12
587485,1980-12
587487,1992-11
587488,1992-11
587489,1992-11
587490,1992-11
587491,1992-11
587492,1992-11
587681,1997-06
587682,1997-06
587686,1977-12
587687,1977-12
587688,1977-12
587689,1977-12
587690,1977-12
587691,1977-12
587692,1977-12
587693,1977-12
587694,1977-12
587695,1977-12
587696,1977-12
587697,1977-12
587698,1977-12
587699,1977-12
587700,1977-12
587701,1977-12
587702,1977-12
587703,1977-12
587704,1977-12
587705,1977-12
587706,1977-12
587707,1977-12
587708,1977-12
587709,1977-12
587710,1977-12
587711,1977-12
587712,1977-12
587713,1977-12
587714,1977-12
587715,1977-12
587716,1977-12
587717,1977-12
587718,1977-12
587719,1977-12
587720,1977-12
587721,1977-12
587722,1977-12
587723,1977-12
587724,1977-12
587725,1977-12
587726,1977-12
587727,1977-12
587728,1948-10
587729,1948-10
587730,1948-10
587731,1948-10
587732,1948-10
587733,1948-10
587734,1948-10
587735,1948-10
587797,1997-11 - 1997-12
587798,1997-11 - 1997-12
587870,1985-01
587871,1978-04
587872,1978-04
587873,1978-04
587874,1978-04
587875,1985-01
588040,1997-08
588041,1997-08
588042,1997-08
588043,1997-08
588044,1997-08
588045,1997-08
588046,1997-08
588047,1997-08
588048,1997-09
588049,1997-09
588050,1997-09
588051,1997-09
588052,1997-09
588053,1997-09
588054,1997-08
588055,1997-08
588056,1997-08
588057,1997-08
588058,1997-08
588059,1997-08
588060,1997-08
588061,1997-08
588062,1997-08
588063,1997-07
588064,1997-07
588070,1978-10
588071,1978-10
588072,1978-10
588096,1947-06 - 1947-09
588097,1947-06 - 1947-09
588107,1963-05
588135,1972-09
588136,1972-04
588138,1975-11
588139,1992-11
588140,1992-11
588141,1992-11
588142,1992-11
588143,1992-11
588958,1972-01
588959,1972-01
588960,1972-01
588961,1953-06
588962,1985-12
588963,1985-12
588964,1985-12
588965,1985-12
588966,1985-12
588967,1985-12
588968,1985-12
588969,1985-12
588970,1985-12
588971,1985-12
588972,1985-12
588973,1985-12
588974,1985-12
588975,1985-12
588976,1985-12
588977,1985-12
588978,1985-12
588979,1985-12
588980,1986-01
588981,1986-01
588982,1986-12
588983,1992-10
588984,1992-10
588985,1985-12
588986,1985-12
588987,1985-12
588988,1985-12
588989,1985-12
588990,1985-12
588991,1985-12
588992,1953-06
588993,1985-12
588994,1949-01
588995,1949-01
588996,1949-01
588997,1949-01
588998,1985-12
588999,1985-12
589000,1985-12
589001,1985-12
589002,1985-12
589003,1985-12
589004,1985-12
589005,1985-12
589006,1985-12
589007,1985-12
589008,1985-12
589009,1985-12
589010,1985-12
589011,1985-12
589012,1985-12
589013,1985-12
589014,1985-12
589015,1985-12
589016,1985-12
589032,1972-01
589033,1972-01
589034,1972-01
589035,1972-01
589036,1972-01
589037,1972-01
589038,1972-01
589039,1972-01
589040,1972-01
589041,1953-11
589042,1985-12
589043,1985-12
589044,1973-01
589045,1973-01
589046,1973-01
589047,1973-01
589048,1973-01
589049,1973-01
589050,1973-01
589051,1973-01
589060,1953-04
589068,1914-07
589069,1914-07
589077,1960-05
589082,1934-12
589083,1934-12
589084,1934-12
589085,1934-12
589086,1934-12
589087,1934-12
589088,1934-12
589089,1934-12
589090,1934-12
589091,1934-12
589092,1934-12
589093,1975-10
589094,1975-10
589095,1975-10
589096,1975-10
589097,1975-10
589098,1975-10
589099,1940-11
589100,1923-09
589101,1945-11
589102,1982-03
589103,1982-03
589104,1982-03
589105,1982-03
589106,1982-03
589107,1982-03
589108,1982-03
589109,1979-09
589110,1979-09
589112,1993-01
589113,1997-02 - 1997-03
589114,1997-02 - 1997-03
589115,1997-02 - 1997-03
589116,1957-05
589227,2000-12
589264,2001-03
589476,1962-10
589480,1948-01
589485,1943-02
589486,1939-01
589488,1946-01
589489,1946-01
589514,1974-12
589515,1974-12
589516,1974-12
589517,1974-12
589518,1974-07
589519,1974-12
589520,1974-07
589521,1974-12
589522,1974-12
589523,1954-06
589524,1954-06
589525,1954-06
589526,1954-06
589527,1954-06
589528,1954-06
589529,1954-06
589530,1954-06
589600,1940-12
589601,1949-11
589603,1945-05
589604,1945-05
589605,1945-05
589606,1945-05
589607,1940-05
589612,2002-07
589613,2002-07
589624,1991-12
589625,1991-12
589626,1991-12
589627,1991-12
589628,1991-12
589629,1992-01
589630,1948-01
589638,1949-01
589639,1949-01
589640,1949-01
589641,1949-01
589642,1949-01
589643,1949-01
589830,1981
589866,1972-08
589867,1972-08
589868,1972-08
589869,1972-08
589870,1972-08
589871,1976-04
589872,1976-04
589873,1976-07
589874,1976-07
589875,1976-07
589876,1976-07
589877,1976-07
589878,1976-07
589879,1976-07
589880,1972-08
589881,1972-08
589882,1972-09
589883,1976-05
589884,1976-05
589885,1976-05
589886,1976-05
589887,1976-05
590638,1995-10
590728,1974-03
590729,1974-03
590730,1963-11
590894,1974-10
590895,1994-03
590896,1994-03
590897,1994-03
590898,1994-03
590899,1994-03
590900,1994-03
590922,1967-12
590923,1993-12
590924,1993-12
590943,1995-07
590944,1995-07
590958,1941-07
590959,1941-07
590960,1942-07
590961,1942-07
590962,1941-08
590963,1943-07
590999,1944-11
591000,1938-12
591001,1938-12
591004,1945-11
591005,1947-09
591006,1947-10
591007,1945-11
591008,1945-11
591009,1978-10
591010,1978-10
591011,1978-10
591012,1978-10
591013,1978-10
591014,1978-10
591015,1978-10
591016,1978-10
591017,1978-10
591019,1945-11
591020,1945-11
591021,1945-11
591022,1945-11
591023,1945-11
591024,1945-11
591025,1945-11
591026,1958-12
591027,1973-11
591028,1975-10
591029,1975-10
591030,1975-10
591031,1975-10
591032,1975-10
591033,1975-10
591034,1975-10
591035,1975-10
591036,1975-10
591101,1945-11
591102,1954-11
591108,1954-02
591109,1954-02
591110,1954-02
591111,1955-08
591112,1955-08
591113,1954-02
591693,1971-07
591694,1971-07
591695,1971-08
591696,1971-07
591703,1971-08
591704,1971-07
591784,1994-08
591785,1994-08
591786,1994-08
591787,1994-08
591788,1994-08
591789,1994-08
591790,1994-08
591791,1994-08
591792,1994-08
591793,1994-08
591794,1994-08
591795,1994-08
591796,1994-08
591797,1994-08
591798,1994-08
591799,1994-08
591800,1994-08
591801,1994-08
591802,1994-08
591803,1994-08
591804,1994-08
591805,1994-08
591821,1981-05
591822,1981-06
591850,1979-01
591851,1988-04
591852,1988-04
591860,1988-04
591861,1988-04
591862,1988-04
591863,1988-04
591864,1988-04
591866,1984-08
591867,1984-08
591868,1984-08
591871,1960-01
591872,1960-01
591873,1960-01
591874,1960-01
591875,1960-04
591876,1960-04
591877,1961-01
591878,1961-01
591879,1962-04
591880,1962-04
591919,1962-02
591920,1943-09
591921,1945-03
591922,1945-03
591923,1945-03
591924,1945-03
591925,1950-11
591945,1960-10
591946,1960-10
592125,1948
592272,1991-12
592323,1957-02
592324,1958-12
592325,1992-01
592326,1992-01
592337,1966-10
592338,1966-10
592339,1966-10
592340,1966-10
592341,1966-10
592342,1966-10
592399,1971-11
592400,1971-11
592401,1971-11
592402,1971-11
592403,1971-11
592404,1971-11
592405,1971-11
592406,1971-11
592407,1971-11
592408,1971-12
592409,1971-12
592410,1971-12
592411,1971-12
592412,1971-12
592413,1971-12
592414,1971-12
592415,1971-12
592426,1979-11
592427,1979-11
592428,1979-11
592429,1979-11
592430,1979-11
592431,1979-11
592432,1979-11
592433,1979-11
592434,1979-11
592435,1979-11
592436,1979-11
592437,1979-11
592438,1979-11
592439,1979-11
592440,1979-11
592443,1970-11
592444,1970-12
592452,1951-03
592453,1969-11
592454,1959-02
592455,1959-02
592456,1959-02
592457,1950-02
592458,1961-02
592459,1950-02
592460,1950-02
592461,1950-02
592462,1950-02
592463,1950-02
592464,1950-02
592465,1951-03
592466,1961-02
592467,1961-02
592468,1961-02
592469,1961-02
592470,1950-02
592471,1950-02
592472,1950-02
592473,1950-02
592474,1950-02
592475,1950-02
592476,1950-02
592477,1950-02
592478,1961-02
592479,1961-02
592480,1950-02
592481,1950-02
592482,1950-02
592483,1950-02
592602,1945-12
592603,1968-01
592604,1947-12
592605,1948-12
592609,2005-10
592610,2005-10
592611,2005-10
592612,2005-10
592613,2005-10
592614,2005-10
592726,1972-07 - 1972-08
592727,1976-08
592728,1976-08
592944,1985-03
592945,1984-05
592946,1984-05
592947,1983-10
592948,1983-10
592951,1987-04
592952,1987-04
593008,1992-07
593009,1992-07
593010,1992-08
593011,1992-08
593012,1992-08
593013,1992-08
593024,1988-08
593025,1988-08
593026,1972-06
593055,1984-07
593056,1984-07
593057,1984-07
593058,1984-07
593059,1984-07
593060,1984-07
593061,1984-07
593062,1984-07
593063,1984-07
593064,1984-07
593065,1984-07
593066,1984-07
593067,1984-07
593068,1984-07
593069,1984-07
593070,1984-07
593071,1984-07
593072,1984-07
593073,1984-07
593074,1984-07
593233,1982
593234,1983
593235,1982
593236,1982
593237,1982
593238,1982
593239,1983
593240,1983
593249,1904-07
593258,1939-07
593272,1973-07 - 1973-08
593277,1987
593279,1987
593280,1987
593282,1987
593283,1987
593287,1987
593288,1987
593289,1987
593290,1987
593291,1987
593292,1987
593293,1987
593294,1987
593295,1987
593296,1987
593297,1987
593298,1987
593299,1987
593300,1987
593301,1987
593302,1987
593303,1987
593304,1987
593305,1987
593306,1987
593307,1987
593308,1987
593309,1987
593310,1987
593311,1987
593312,1987
593313,1987
593314,1987
593315,1987
593316,1987
593317,1987
593318,1987
593319,1987
593320,1987
593332,1987
593333,1987
593334,1987
593335,1987
593336,1987
593337,1987
593338,1987
593339,1987
593340,1987
593341,1987
593342,1987
593355,1997-06
593375,1978
593406,1945-07
593481,1969-07
593511,1977
593531,1972-01
593534,1898
593535,1895
593538,1894
593542,2008
593543,2008
593544,2008
593545,2008
593546,2008
593575,1988-06
593579,1988-06
593583,1988-06
593585,1988-06
593586,1988-06
593589,1988-06
593590,1987-06
593614,1959
593615,1956
593616,1956
593617,1956
593618,1956
593619,1956
593620,1956
593621,1956
593622,1956
593623,1956
593624,1956
593625,1956
593626,1956
593627,1956
593628,1956
593629,1956
593630,1956
593631,1956
593658,1987-05
593659,1987-05
593660,1958-12
593674,1977-07
593679,1976-09
593689,1884-07
593690,1884-07
593691,1976-09
593695,1891
593714,2000 summer
593715,2000 summer
593718,2008
593732,1972
593740,1986-12
593741,1986-12
593821,1966 (before)
593822,1966 (before)
593823,1966 (before)
593826,1966 (before)
593827,1966 (before)
593828,1966 (before)
593830,1976-09
593845,1976-08
593846,1976-08
593848,1966 (before)
593849,1966 (before)
593850,1997-07
593851,1997-07
593852,1997-07
593853,1997-07
593854,1997-07
593855,1997-07
593856,1997-07
593857,1997-07
593858,1997-07
593859,1997-07
593860,1997-07
593861,1966 (before)
593862,1966 (before)
593863,1966 (before)
593864,1976
593868,1966 (before)
593869,1963
593870,1963
593871,1963
593878,1966 (before)
593890,1966 (before)
593891,1966 (before)
593892,1966 (before)
593893,1966 (before)
593894,1966 (before)
593895,1966 (before)
593896,1966 (before)
593897,1966 (before)
593898,1966 (before)
593899,1966 (before)
593900,1983
593906,1978-Summer
593914,1972-Summer
593918,1966 (before)
593919,1966 (before)
593920,1966 (before)
593921,1966 (before)
593922,1966 (before)
593923,1966 (before)
593924,1966 (before)
593925,1966 (before)
593926,1966 (before)
593927,1966 (before)
593942,1979 - 1980
593943,1979 - 1980
593944,1979 - 1980
593945,1979 - 1980
593946,1979 - 1980
593952,1886 (before)
593953,1886 (before)
593954,1886 (before)
593955,1886 (before)
593956,1886 (before)
593957,1886 (before)
593958,1983
593959,1984
593972,1975
593973,1976
593974,1976
593975,1991
594022,1965-12
594023,1965-12
594126,1966-10
594149,1966-03
594150,1966-04
594156,1966-04
594159,1966-04
594160,1966-12
594161,1965-12
594163,1965-12
594164,1965-12
594165,1965-12
594166,1965-12
594193,1965-11
594194,1965 winter
594236,1968-01
594240,1968-01
594241,1968-01
594263,1965-12
594267,1965-11
